"date","height"
2025-01-12 21:15:00,1.02
2025-01-12 21:30:00,1.02
2025-01-12 21:45:00,1.02
2025-01-12 22:00:00,1.02
2025-01-12 22:15:00,1.02
2025-01-12 22:30:00,1.02
2025-01-12 22:45:00,1.02
2025-01-12 23:00:00,1.01
2025-01-12 23:15:00,1.01
2025-01-12 23:30:00,1.01
2025-01-12 23:45:00,1.01
2025-01-13,1.01
2025-01-13 00:15:00,1.01
2025-01-13 00:30:00,1.01
2025-01-13 00:45:00,1.01
2025-01-13 01:00:00,1
2025-01-13 01:15:00,1
2025-01-13 01:30:00,1
2025-01-13 01:45:00,1
2025-01-13 02:00:00,1
2025-01-13 02:15:00,1
2025-01-13 02:30:00,1
2025-01-13 02:45:00,1
2025-01-13 03:00:00,1
2025-01-13 03:15:00,1
2025-01-13 03:30:00,0.99
2025-01-13 03:45:00,0.99
2025-01-13 04:00:00,0.99
2025-01-13 04:15:00,0.99
2025-01-13 04:30:00,0.99
2025-01-13 04:45:00,0.99
2025-01-13 05:00:00,0.99
2025-01-13 05:15:00,0.99
2025-01-13 05:30:00,0.99
2025-01-13 05:45:00,0.99
2025-01-13 06:00:00,0.99
2025-01-13 06:15:00,0.98
2025-01-13 06:30:00,0.98
2025-01-13 06:45:00,0.98
2025-01-13 07:00:00,0.98
2025-01-13 07:15:00,0.98
2025-01-13 07:30:00,0.98
2025-01-13 07:45:00,0.98
2025-01-13 08:00:00,0.98
2025-01-13 08:15:00,0.98
2025-01-13 08:30:00,0.97
2025-01-13 08:45:00,0.98
2025-01-13 09:00:00,0.97
2025-01-13 09:15:00,0.97
2025-01-13 09:30:00,0.97
2025-01-13 09:45:00,0.97
2025-01-13 10:00:00,0.97
2025-01-13 10:15:00,0.97
2025-01-13 10:30:00,0.97
2025-01-13 10:45:00,0.97
2025-01-13 11:00:00,0.97
2025-01-13 11:15:00,0.97
2025-01-13 11:30:00,0.97
2025-01-13 11:45:00,0.97
2025-01-13 12:00:00,0.97
2025-01-13 12:15:00,0.96
2025-01-13 12:30:00,0.96
2025-01-13 12:45:00,0.96
2025-01-13 13:00:00,0.96
2025-01-13 13:15:00,0.96
2025-01-13 13:30:00,0.96
2025-01-13 13:45:00,0.96
2025-01-13 14:00:00,0.96
2025-01-13 14:15:00,0.96
2025-01-13 14:30:00,0.96
2025-01-13 14:45:00,0.96
2025-01-13 15:00:00,0.96
2025-01-13 15:15:00,0.96
2025-01-13 15:30:00,0.96
2025-01-13 15:45:00,0.96
2025-01-13 16:00:00,0.96
2025-01-13 16:15:00,0.96
2025-01-13 16:30:00,0.96
2025-01-13 16:45:00,0.96
2025-01-13 17:00:00,0.96
2025-01-13 17:15:00,0.96
2025-01-13 17:30:00,0.96
2025-01-13 17:45:00,0.96
2025-01-13 18:00:00,0.96
2025-01-13 18:15:00,0.97
2025-01-13 18:30:00,0.96
2025-01-13 18:45:00,0.96
2025-01-13 19:00:00,0.96
2025-01-13 19:15:00,0.96
2025-01-13 19:30:00,0.96
2025-01-13 19:45:00,0.96
2025-01-13 20:00:00,0.96
2025-01-13 20:15:00,0.97
2025-01-13 20:30:00,0.96
2025-01-13 20:45:00,0.97
2025-01-13 21:00:00,0.97
2025-01-13 21:15:00,0.97
2025-01-13 21:30:00,0.97
2025-01-13 21:45:00,0.96
2025-01-13 22:00:00,0.97
2025-01-13 22:15:00,0.97
2025-01-13 22:30:00,0.96
2025-01-13 22:45:00,0.97
2025-01-13 23:00:00,0.97
2025-01-13 23:15:00,0.97
2025-01-13 23:30:00,0.97
2025-01-13 23:45:00,0.97
2025-01-14,0.97
2025-01-14 00:15:00,0.97
2025-01-14 00:30:00,0.97
2025-01-14 00:45:00,0.97
2025-01-14 01:00:00,0.96
2025-01-14 01:15:00,0.97
2025-01-14 01:30:00,0.97
2025-01-14 01:45:00,0.97
2025-01-14 02:00:00,0.97
