"date","height"
2025-04-26 21:15:00,0.87
2025-04-26 21:30:00,0.87
2025-04-26 21:45:00,0.87
2025-04-26 22:00:00,0.87
2025-04-26 22:15:00,0.87
2025-04-26 22:30:00,0.87
2025-04-26 22:45:00,0.87
2025-04-26 23:00:00,0.87
2025-04-26 23:15:00,0.87
2025-04-26 23:30:00,0.87
2025-04-26 23:45:00,0.87
2025-04-27,0.87
2025-04-27 00:15:00,0.87
2025-04-27 00:30:00,0.87
2025-04-27 00:45:00,0.87
2025-04-27 01:00:00,0.86
2025-04-27 01:15:00,0.86
2025-04-27 01:30:00,0.87
2025-04-27 01:45:00,0.86
2025-04-27 02:00:00,0.87
2025-04-27 02:15:00,0.87
2025-04-27 02:30:00,0.86
2025-04-27 02:45:00,0.86
2025-04-27 03:00:00,0.86
2025-04-27 03:15:00,0.86
2025-04-27 03:30:00,0.86
2025-04-27 03:45:00,0.86
2025-04-27 04:00:00,0.86
2025-04-27 04:15:00,0.86
2025-04-27 04:30:00,0.86
2025-04-27 04:45:00,0.86
2025-04-27 05:00:00,0.86
2025-04-27 05:15:00,0.86
2025-04-27 05:30:00,0.86
2025-04-27 05:45:00,0.86
2025-04-27 06:00:00,0.86
2025-04-27 06:15:00,0.86
2025-04-27 06:30:00,0.86
2025-04-27 06:45:00,0.86
2025-04-27 07:00:00,0.86
2025-04-27 07:15:00,0.86
2025-04-27 07:30:00,0.85
2025-04-27 07:45:00,0.85
2025-04-27 08:00:00,0.85
2025-04-27 08:15:00,0.85
2025-04-27 08:30:00,0.85
2025-04-27 08:45:00,0.85
2025-04-27 09:00:00,0.85
2025-04-27 09:15:00,0.86
2025-04-27 09:30:00,0.86
2025-04-27 09:45:00,0.86
2025-04-27 10:00:00,0.86
2025-04-27 10:15:00,0.86
2025-04-27 10:30:00,0.85
2025-04-27 10:45:00,0.86
2025-04-27 11:00:00,0.86
2025-04-27 11:15:00,0.86
2025-04-27 11:30:00,0.86
2025-04-27 11:45:00,0.86
2025-04-27 12:00:00,0.86
2025-04-27 12:15:00,0.86
2025-04-27 12:30:00,0.86
2025-04-27 12:45:00,0.86
2025-04-27 13:00:00,0.86
2025-04-27 13:15:00,0.85
2025-04-27 13:30:00,0.86
2025-04-27 13:45:00,0.86
2025-04-27 14:00:00,0.86
2025-04-27 14:15:00,0.86
2025-04-27 14:30:00,0.87
2025-04-27 14:45:00,0.87
2025-04-27 15:00:00,0.87
2025-04-27 15:15:00,0.86
2025-04-27 15:30:00,0.86
2025-04-27 15:45:00,0.86
2025-04-27 16:00:00,0.86
2025-04-27 16:15:00,0.85
2025-04-27 16:30:00,0.85
2025-04-27 16:45:00,0.86
2025-04-27 17:00:00,0.86
2025-04-27 17:15:00,0.86
2025-04-27 17:30:00,0.86
2025-04-27 17:45:00,0.85
2025-04-27 18:00:00,0.85
2025-04-27 18:15:00,0.85
2025-04-27 18:30:00,0.85
2025-04-27 18:45:00,0.86
2025-04-27 19:00:00,0.86
2025-04-27 19:15:00,0.86
2025-04-27 19:30:00,0.86
2025-04-27 19:45:00,0.86
2025-04-27 20:00:00,0.86
2025-04-27 20:15:00,0.86
2025-04-27 20:30:00,0.86
2025-04-27 20:45:00,0.86
2025-04-27 21:00:00,0.85
2025-04-27 21:15:00,0.86
2025-04-27 21:30:00,0.85
2025-04-27 21:45:00,0.86
2025-04-27 22:00:00,0.85
2025-04-27 22:15:00,0.85
2025-04-27 22:30:00,0.85
2025-04-27 22:45:00,0.85
2025-04-27 23:00:00,0.86
2025-04-27 23:15:00,0.85
2025-04-27 23:30:00,0.85
2025-04-27 23:45:00,0.85
2025-04-28,0.85
2025-04-28 00:15:00,0.85
2025-04-28 00:30:00,0.85
2025-04-28 00:45:00,0.85
2025-04-28 01:00:00,0.85
2025-04-28 01:15:00,0.85
2025-04-28 01:30:00,0.85
2025-04-28 01:45:00,0.85
2025-04-28 02:00:00,0.85
2025-04-28 02:15:00,0.85
2025-04-28 02:30:00,0.85
2025-04-28 02:45:00,0.85
2025-04-28 03:00:00,0.85
2025-05-01 10:45:00,0.81
2025-05-01 11:00:00,0.8
2025-05-01 11:15:00,0.81
2025-05-01 11:30:00,0.81
2025-05-01 11:45:00,0.8
2025-05-01 12:00:00,0.8
2025-05-01 12:15:00,0.8
2025-05-01 12:30:00,0.81
2025-05-01 12:45:00,0.81
2025-05-01 13:00:00,0.81
2025-05-01 13:15:00,0.81
2025-05-01 13:30:00,0.81
2025-05-01 13:45:00,0.81
2025-05-01 14:00:00,0.81
2025-05-01 14:15:00,0.81
2025-05-01 14:30:00,0.8
2025-05-01 14:45:00,0.81
2025-05-01 15:00:00,0.81
2025-05-01 15:15:00,0.8
2025-05-01 15:30:00,0.8
2025-05-01 15:45:00,0.81
2025-05-01 16:00:00,0.8
2025-05-01 16:15:00,0.81
2025-05-01 16:30:00,0.8
2025-05-01 16:45:00,0.81
2025-05-01 17:00:00,0.81
2025-05-01 17:15:00,0.81
2025-05-01 17:30:00,0.81
2025-05-01 17:45:00,0.81
2025-05-01 18:00:00,0.81
2025-05-01 18:15:00,0.81
2025-05-01 18:30:00,0.81
2025-05-01 18:45:00,0.81
2025-05-01 19:00:00,0.81
2025-05-01 19:15:00,0.81
2025-05-01 19:30:00,0.81
2025-05-01 19:45:00,0.81
2025-05-01 20:00:00,0.81
2025-05-01 20:15:00,0.81
2025-05-01 20:30:00,0.81
2025-05-01 20:45:00,0.81
